experiment_name,backend,mpi_ranks,omp_threads,num_qubits,circuit_depth,num_cuts,total_tasks,batch_size,chunk_records,compute_seconds,write_seconds,read_seconds,total_seconds,global_sum,records_written,bytes_written,files_created,tasks_per_second,max_buffer_mb
single_hdf5_mpi1_b1024_c65536_cuts6_t8_rep0,single_hdf5,1,8,28,120,6,9597401,1024,65536,0.920588,1.458326,0.254824,2.649217,-0.015582,9597401,614233664,1,3622730.754903,0.062500
single_hdf5_mpi1_b1024_c65536_cuts6_t12_rep0,single_hdf5,1,12,28,120,6,9597401,1024,65536,1.044527,1.459945,0.263012,2.784486,-0.015582,9597401,614233664,1,3446740.428647,0.062500
single_hdf5_mpi1_b1024_c65536_cuts8_t4_rep0,single_hdf5,1,4,28,120,8,50000000,1024,65536,4.351078,7.619520,1.341966,13.399359,0.000027,50000000,3200000000,1,3731521.816851,0.062500
single_hdf5_mpi1_b1024_c65536_cuts8_t8_rep0,single_hdf5,1,8,28,120,8,50000000,1024,65536,4.820779,7.616814,1.331633,13.854635,0.000027,50000000,3200000000,1,3608900.637156,0.062500
single_hdf5_mpi1_b1024_c65536_cuts8_t12_rep0,single_hdf5,1,12,28,120,8,50000000,1024,65536,5.464600,7.679345,1.328178,14.561309,0.000027,50000000,3200000000,1,3433757.119733,0.062500
single_hdf5_mpi1_b4096_c4096_cuts4_t4_rep0,single_hdf5,1,4,28,120,4,599837,4096,4096,0.044595,0.023471,0.019870,0.088764,-0.010880,599837,38389568,1,6757643.329499,0.250000
single_hdf5_mpi1_b4096_c4096_cuts4_t8_rep0,single_hdf5,1,8,28,120,4,599837,4096,4096,0.047058,0.023953,0.018986,0.090803,-0.010880,599837,38389568,1,6605909.629352,0.250000
single_hdf5_mpi1_b4096_c4096_cuts4_t12_rep0,single_hdf5,1,12,28,120,4,599837,4096,4096,0.049447,0.024039,0.018389,0.092686,-0.010880,599837,38389568,1,6471726.369155,0.250000
single_hdf5_mpi1_b4096_c4096_cuts6_t4_rep0,single_hdf5,1,4,28,120,6,9597401,4096,4096,0.721592,0.377150,0.289816,1.400973,-0.015582,9597401,614233664,1,6850525.880699,0.250000
single_hdf5_mpi1_b4096_c4096_cuts6_t8_rep0,single_hdf5,1,8,28,120,6,9597401,4096,4096,0.744713,0.378455,0.287324,1.423536,-0.015582,9597401,614233664,1,6741943.570049,0.250000
single_hdf5_mpi1_b4096_c4096_cuts6_t12_rep0,single_hdf5,1,12,28,120,6,9597401,4096,4096,0.784400,0.375797,0.289890,1.462955,-0.015582,9597401,614233664,1,6560284.389550,0.250000
single_hdf5_mpi1_b4096_c4096_cuts8_t4_rep0,single_hdf5,1,4,28,120,8,50000000,4096,4096,3.737868,1.994784,1.599367,7.397714,0.000027,50000000,3200000000,1,6758844.352792,0.250000
single_hdf5_mpi1_b4096_c4096_cuts8_t8_rep0,single_hdf5,1,8,28,120,8,50000000,4096,4096,3.912076,2.037598,1.482509,7.499997,0.000027,50000000,3200000000,1,6666668.966223,0.250000
single_hdf5_mpi1_b4096_c4096_cuts8_t12_rep0,single_hdf5,1,12,28,120,8,50000000,4096,4096,4.073194,1.993287,1.495048,7.628989,0.000027,50000000,3200000000,1,6553948.658438,0.250000
single_hdf5_mpi1_b4096_c16384_cuts4_t4_rep0,single_hdf5,1,4,28,120,4,599837,4096,16384,0.044013,0.035081,0.018733,0.098682,-0.010880,599837,38389568,1,6078484.855895,0.250000
